"subid","familiarity","orientation","target_sex","target_presence","set_size","target_position","img1","img2","img3","img4","img5","img6","stimuli_combination","jitter","keypress","correct","RT"
"sub001","Stranger","Upright","Male","Target Absent",4,0,"c_m8_1.jpg","none","c_m7_2.jpg","c_m6_1.jpg","none","c_m3_2.jpg","c_m3_2.jpg:c_m6_1.jpg:c_m7_2.jpg:c_m8_1.jpg:none:none",0.88333,0,1,866.68
"sub001","Stranger","Upright","Male","Target Absent",6,0,"c_m7_1.jpg","c_m3_2.jpg","c_m6_1.jpg","c_m8_2.jpg","c_m4_2.jpg","c_m1_1.jpg","c_m1_1.jpg:c_m3_2.jpg:c_m4_2.jpg:c_m6_1.jpg:c_m7_1.jpg:c_m8_2.jpg",0.88333,0,1,1206.1
"sub001","Stranger","Upright","Male","Target Absent",4,0,"c_m8_2.jpg","c_m4_2.jpg","none","c_m3_1.jpg","c_m1_2.jpg","none","c_m1_2.jpg:c_m3_1.jpg:c_m4_2.jpg:c_m8_2.jpg:none:none",0.86667,0,1,788.02
"sub001","Stranger","Upright","Male","Target Present",6,1,"c_m5_1.jpg","c_m3_2.jpg","c_m8_2.jpg","c_m6_2.jpg","c_m4_2.jpg","c_m1_2.jpg","c_m1_2.jpg:c_m3_2.jpg:c_m4_2.jpg:c_m5_1.jpg:c_m6_2.jpg:c_m8_2.jpg",0.95,1,1,642.55
"sub001","Stranger","Upright","Male","Target Present",2,3,"none","none","c_m5_1.jpg","none","none","c_m4_2.jpg","c_m4_2.jpg:c_m5_1.jpg:none:none:none:none",0.93333,1,1,607.28
"sub001","Stranger","Upright","Male","Target Absent",4,0,"c_m6_2.jpg","c_m8_2.jpg","none","c_m4_1.jpg","c_m1_1.jpg","none","c_m1_1.jpg:c_m4_1.jpg:c_m6_2.jpg:c_m8_2.jpg:none:none",0.96667,0,1,677.18
"sub001","Stranger","Upright","Male","Target Present",2,3,"none","none","c_m5_2.jpg","none","none","c_m4_2.jpg","c_m4_2.jpg:c_m5_2.jpg:none:none:none:none",1,1,1,680.49
"sub001","Stranger","Upright","Male","Target Present",2,4,"c_m6_2.jpg","none","none","c_m5_1.jpg","none","none","c_m5_1.jpg:c_m6_2.jpg:none:none:none:none",1,1,1,531.8
"sub001","Stranger","Upright","Male","Target Present",6,5,"c_m6_2.jpg","c_m4_2.jpg","c_m7_1.jpg","c_m1_1.jpg","c_m5_1.jpg","c_m3_2.jpg","c_m1_1.jpg:c_m3_2.jpg:c_m4_2.jpg:c_m5_1.jpg:c_m6_2.jpg:c_m7_1.jpg",0.83333,1,1,1004.6
"sub001","Stranger","Upright","Male","Target Absent",4,0,"c_m1_2.jpg","none","c_m6_2.jpg","c_m3_1.jpg","none","c_m7_1.jpg","c_m1_2.jpg:c_m3_1.jpg:c_m6_2.jpg:c_m7_1.jpg:none:none",0.81667,0,1,866.54
